date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU6,32138.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-12,SKU6,11659.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2017-02-19,SKU6,12140.0,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-02-26,SKU6,29635.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-05,SKU6,11666.0,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-03-12,SKU6,118504.0,0.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-03-19,SKU6,32530.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-03-26,SKU6,28821.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-02,SKU6,11595.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-09,SKU6,29675.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-16,SKU6,9508.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-23,SKU6,21203.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,SKU6,27228.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-07,SKU6,28788.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-05-14,SKU6,29511.0,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-21,SKU6,32898.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-05-28,SKU6,28847.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-04,SKU6,142953.0,0.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-11,SKU6,27682.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-18,SKU6,12779.0,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-25,SKU6,31805.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,SKU6,131072.0,0.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,SKU6,29081.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,SKU6,37630.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,SKU6,30212.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-30,SKU6,33159.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-08-06,SKU6,118276.0,0.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-08-13,SKU6,33809.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-08-20,SKU6,47551.0,0.38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-08-27,SKU6,33724.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-03,SKU6,15134.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-10,SKU6,14540.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,SKU6,36254.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-09-24,SKU6,129254.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,SKU6,14692.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-08,SKU6,44595.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-15,SKU6,42541.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-10-22,SKU6,154098.0,0.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-10-29,SKU6,241114.0,0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-05,SKU6,34976.0,0.28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-11-12,SKU6,42047.0,0.38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-11-19,SKU6,32668.0,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26,SKU6,44779.0,0.38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-03,SKU6,42982.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-10,SKU6,41175.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-17,SKU6,14744.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-24,SKU6,13862.0,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,SKU6,19735.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,SKU6,9047.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,SKU6,38639.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,SKU6,10629.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-28,SKU6,41994.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-04,SKU6,12099.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-02-11,SKU6,38384.0,0.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
